openDate,10代,10歳未満,20代,30代,40代,50代,60代,70代,80代,90歳以上,確認中,非公表
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,2,0,1,0,0,0
2020-02-21,0,0,0,0,0,0,1,0,1,0,0,0
2020-02-22,0,0,0,0,0,0,1,0,1,0,0,0
2020-02-23,0,0,0,0,0,0,1,0,1,0,0,0
2020-02-24,0,0,0,0,0,0,1,0,1,0,0,0
2020-02-25,0,0,0,0,0,0,1,0,1,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,1,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,1,1,0,0,0,0,0,0,0,0
2020-03-27,0,0,1,1,0,0,0,0,0,0,0,0
2020-03-28,0,0,2,2,0,0,0,0,0,0,0,0
2020-03-29,0,0,2,2,0,0,0,0,0,0,0,0
2020-03-30,0,0,1,2,1,0,0,0,0,0,0,0
2020-03-31,0,0,1,2,1,0,0,0,0,0,0,0
2020-04-01,0,0,1,2,1,0,0,0,0,0,0,0
2020-04-02,0,0,1,1,1,0,0,0,0,0,0,0
2020-04-03,0,0,2,1,1,0,0,0,0,0,0,0
2020-04-04,0,0,2,1,2,1,0,1,0,0,0,0
2020-04-05,0,0,2,1,2,1,0,1,0,0,0,0
2020-04-06,0,0,5,1,1,3,0,2,0,0,0,0
2020-04-07,0,0,6,1,5,7,0,3,0,0,0,0
2020-04-08,0,0,7,3,5,9,0,3,0,0,0,0
2020-04-09,0,0,9,3,5,9,0,4,0,0,0,0
2020-04-10,0,0,8,3,7,10,2,6,0,0,0,0
2020-04-11,0,0,8,2,6,10,3,9,0,0,0,0
2020-04-12,0,0,8,3,8,10,4,13,1,0,0,0
